,,Vittel Tecnologia em Comunicação - servicos e nfs-e - clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vittel Tecnologia em Comunicação - servicos e nfs-e - clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Situação,Tags,CNPJ / CPF,Razão Social / Nome Completo,Nome Fantasia / Nome Abreviado,Telefone,Contato,E-mail,Cidade,Estado,Endereço,Bairro,CEP,Banco,Agência,Conta Corrente,Inscrição Estadual,Contribuinte do ICMS,Inscrição Municipal,Tipo de Atividade,Número de Parcelas (padrão),Vendedor (padrão),E-mail para NF-e e Boleto,Boleto ao Emitir NF-e,Faturamento Bloqueado,Crédito Total,Total a Receber,Crédito Disponível,Integração Automática,Características,Transportadora,Inclusão,Última Alteração,Incluído por,Alterado por
Ativo,Cliente,45.572.666/0001-52,17 TABELIAO DE NOTAS DA CAPITAL,17 TABELIAO DE NOTAS DA CAPITAL,(11) 3291-2500,,adm@17tabeliao.com.br,São Paulo (SP),SP,"RUA VERGUEIRO, 128 - ANDAR 2",LIBERDADE,01504-000,,,,,Não,,Prestação de Serviços,,,adm@17tabeliao.com.br,Não,Não,0.00,407.81,,,,,1/18/2024,1/18/2024,Magali Vieira,Magali Vieira
Ativo,Cliente,37.152.086/0001-88,37.152.086 NILSON WILLY ANDERLE JUNIOR,NILSON WILLY ANDERLE JUNIOR,(41) 99717-2000,NILSON,pinguinhokids@hotmail.com,Campo Largo (PR),PR,"RUA MATO GROSSO - DE 5902/5903 AO FIM, 10300",FERRARIA,83609-800,,,,,Não,,,,,pinguinhokids@hotmail.com,Não,Não,0.00,0.00,,,,,1/18/2024,1/19/2024,Magali Vieira,Magali Vieira
Ativo,Cliente,22.177.696/0001-69,3SB PRODUTOS AGRICOLAS S.A.,3SB PRODUTOS AGRICOLAS S.A.,(66) 3773-8006,,ti@openagfarm.com,Primavera do Leste (MT),MT,"R RIO DE JANEIRO, 2583 - LOTE 0002 QUADRA009 SALA 004",CIDADE PRIMAVERA DO LESTE IV,78850-000,,,,0013575439-9,Sim,,Prestação de Serviços,,,carlos.galvao@openagfarm.com.br,Não,Não,0.00,537.75,,,,,1/18/2024,2/19/2024,Magali Vieira,Rafaela Schiavinatto
Ativo,Cliente,49.983.826/0001-07,49.983.826 JOAO ROBERTO DE SOUZA,49.983.826 JOAO ROBERTO DE SOUZA,(13) 9715-8440,,joaorobertodesouza1234@gmail.com,São Vicente (SP),SP,"R QUARENTA E UM, 97",PARQUE CONTINENTAL,11348-230,,,,657.633.188.115,Sim,,Industrial,,,serralheriaevidracariaelshaday@outlook.com,Não,Não,0.00,358.60,,,,,1/18/2024,1/19/2024,Magali Vieira,Magali Vieira
Ativo,Cliente,51.936.962/0001-98,51.936.962 VITOR ZANETTI GOMES,51.936.962 VITOR ZANETTI GOMES,(11) 97895-5815,,vitor7zanetti@gmail.com,São Paulo (SP),SP,"R MOISES DE CORENA, 940",CIDADE TIRADENTES,08475-170,,,,124.883.845.110,Sim,,Comercial (Varejista),,,vitor7zanetti@gmail.com,Não,Não,0.00,"1,829.73",,,,,1/18/2024,1/19/2024,Magali Vieira,Magali Vieira
Ativo,Cliente,52.057.711/0001-04,52.057.711 EDERALDO DOS SANTOS MOTA,52.057.711 EDERALDO DOS SANTOS MOTA,(71) 99208-4381,,ederaldomota13@gmail.com,Lauro de Freitas (BA),BA,"AVENIDA PROGRESSO, 2153",JAMBEIRO,42728-620,,,,2104518-18,Sim,,Prestação de Serviços,,,,Não,Não,0.00,222.35,,,,,3/13/2024,3/25/2024,Magali Vieira,Magali Vieira
Ativo,Cliente,53.345.085/0001-06,53.345.085 RAYANE CRISTINE DE FREITAS MIRANDA,53.345.085 RAYANE CRISTINE DE FREITAS MIRANDA,(92) 9213-9039,,rayanefreitas245@gmail.com,Manaus (AM),AM,"R CACIQUE ANGELO CRETA, 11",ZUMBI DOS PALMARES,69084-540,,,,,Não,,,,,,Não,Não,0.00,"1,009.16",,,,,1/23/2024,1/23/2024,Ailton Vieira,Ailton Vieira
